amie,nombre_institucion
01B00030,UNIDAD EDUCATIVA PARTICULAR BUENA ESPERANZA
01H00001,ESCUELA DE EDUCACION BASICA PARTICULAR CRISTO REY
01H00003,ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ
01H00010,BENJAMIN RAMIREZ ARTEAGA
01H00048,ESCUELA DE EDUCACION BASICA FISCOMISIONAL PADRE CARLOS CRESPI
01H00082,DOCE DE ABRIL
01H00113,UNIDAD EDUCATIVA SALESIANA MARIA AUXILIADORA
01H00117,UNIDAD EDUCATIVA PARTICULAR CORAZON DE MARIA
01H00120,UNIDAD EDUCATIVA PARTICULAR MISIONEROS OBLATOS
01H00172,SANTA MARIANA DE JESUS
01H00174,ESCUELA DE EDUCACION BASICA FISCOMISIONAL DANIEL HERMIDA
01H00188,ESCUELA DE EDUCACION BASICA PARTICULAR ARZOBISPO SERRANO
01H00199,UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL DE LA SALLE
01H00209,UNIDAD EDUCATIVA FE Y ALEGRIA
01H00213,UNIDAD EDUCATIVA PARTICULAR LA ASUNCION
01H00241,UNIDAD EDUCATIVA PARTICULAR KENNEDY
01H00271,SUDAMERICANO
01H00281,MANUELA CAÑIZARES
01H00300,UNIDAD EDUCATIVA PARTICULAR SANTANA UNESA
01H00324,UNIDAD EDUCATIVA PARTICULAR LAS PENCAS
01H00336,COLEGIO DE BACHILLERATO CIUDAD DE CUENCA
01H00339,BELL ACADEMY
01H00358,LUISA DE JESUS CORDERO
01H00374,UNIDAD EDUCATIVA PARTICULAR BILINGÜE NUESTRA FAMILIA
01H00377,UNIDAD EDUCATIVA BILINGÜE INTERAMERICANA
01H00428,ESCUELA DE EDUCACION BASICA PARTICULAR LICEO DECROLIANO INTERNACIONAL
01H00429,MIGUEL MORENO ORDOÑEZ
01H00437,UNIDAD EDUCATIVA PARTICULAR LICEO AMERICANO CATOLICO
01H00448,UNIDAD EDUCATIVA PARTICULAR JUAN PABLO II
01H00475,UNIDAD EDUCATIVA TECNICO SALESIANO
01H00503,SEGUNDO ESPINOSA CALLE
01H00515,UNIDAD EDUCATIVA PARTICULAR BORJA
01H00578,UNIDAD EDUCATIVA CHECA
01H00580,RAFAEL CORRAL MOSCOSO
01H00617,JUAN LEON MERA
01H00655,UNIDAD EDUCATIVA ABDON CALDERON
01H00701,UNIDAD EDUCATIVA PARTICULAR ALEMAN STIEHLE DE CUENCA
01H00706,FRANCISCO EUGENIO TAMARIZ
01H00754,ISAAC A CHICO
01H00759,UNIDAD EDUCATIVA COLEGIO MILITAR ABDON CALDERON
01H00761,ESTADOS UNIDOS DE NORTE AMERICA
01H00762,COLEGIO NACIONAL MIXTO TECNICO INDUSTRIAL RICAURTE
01H00770,MANUEL MARIA PALACIOS BRAVO
01H00771,UNIDAD EDUCATIVA PARTICULAR SANTIAGO DE COMPOSTELA
01H00777,VICENTE LEON PICON
01H00779,FEDERICO MALO
01H00821,JOAQUIN MALO TAMARIZ
01H00855,HONORIO VEGA LARREA
01H00868,FAUSTO MOLINA
01H00887,UNIDAD EDUCATIVA TURI
01H00892,NCOLAS SOJOS JARAMILLO
01H00894,TECNICO GUILLERMO MENSI
01H00977,UNIDAD EDUCATIVA TEMPORAL ALFONSO LITUMA CORREA
01H00982,ESCUELA DE EDUCACION BASICA PARTICULAR HUERTO DEL EDEN
01H01026,MARIANO CUEVA
01H01175,ESCUELA DE EDUCACION BASICA MANUEL J CALLE
01H01176,AGRONOMICO SALESIANO
01H01183,UNIDAD EDUCATIVA ATENAS DEL ECUADOR
01H01202,ESCUELA DE EDUCACION BASICA ANTONIO MORALES
01H01286,ESCUELA DE EDUCACION BASICA FISCOMISIONAL LA INMACULADA
01H01312,UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA
01H01373,ESCUELA DE EDUCACION BASICA ERNESTO LOPEZ
01H01650,ALICIA LOZA MENESES
01H01807,PASOS
01H01825,ESCUELA DE EDUCACION BASICA RICARDO MUÑOZ CHAVEZ
01H02001,UNIDAD EDUCATIVA DEL MILENIO MANUEL J. CALLE
01H02006,UNIDAD EDUCATIVA DEL MILENIO SAYAUSI
01H02008,UNIDAD EDUCATIVA DEL MILENIO QUINGEO
02H00004,EEB ANGEL POLIBIO CHAVES
02H00030,UNIDAD EDUCATIVA VERBO DIVINO
02H00033,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS
02H00185,UNIDAD EDUCATIVA FELIX GRANJA GAMAZO
02H00344,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS MARTINEZ BARBA
02H00557,UE CAMINO REAL
02H00588,UNIDAD EDUCATIVA SAN PABLO DE ATENAS
02H00658,UNIDAD EDUCATIVA MUNICIPAL SEGUNDO ULPIANO FIGUEROA
02H00735,UNIDAD EDUCATIVA TEMPORAL LAS NAVES
03H00023,UNIDAD EDUCATIVA FISCOMISIONAL EMILIA MERCHAN
03H00061,EMILIO ABAD
03H00075,UNIDAD EDUCATIVA PARTICULAR LA PROVIDENCIA
03H00241,JOSE BENIGNO IGLESIAS1
03H00288,UNIDAD EDUCATIVA SAN JOSE DE CALASANZ
03H00424,UNIDAD EDUCATIVA HUAYRAPUNGO
03H00428,HUAYNA CAPAC
03H00502,ESC. DE EDUC. BASIC. PRESIDENTE VELASCO
03H00513,UNIDAD EDUCATIVA PARTICULAR SAN GABRIEL
03H00515,UNIDAD EDUCATIVA PARTICULAR JULIO MARIA MATOVELLE
03H00530,MANUEL DE J CALLE
03H00554,AMAZONAS
03H00577,ESCUELA DE EDUCACION BASICA PARTICULAR MARIANA DE JESUS
03H00612,UNIDAD EDUCATIVA SAN SEBASTIAN
03H00795,UNIDAD EDUCATIVA DEL MILENIO GRAL. ELOY ALFARO DELGADO
04H00001,PRIMERO DE MAYO
04H00026,VICENTE FIERRO
04H00034,HERMANO MIGUEL LA SALLE
04H00070,CESAR ANTONIO MOSQUERA
04H00072,LUIS ALFONSO CALVACHI
04H00079,13 DE DICIEMBRE
04H00091,MARIA AUXILIADORA
04H00095,MALDONADO
04H00140,UNIDAD EDUCATIVA DEL MILENIO CARLOS ROMO DAVILA
04H00263,LEON RUALES
04H00308,EUGENIO ESPEJO
04H00334,PABLO MUÑOZ VEGA
