id_parr,nombre_parroquia
170114,JIPIJAPA
170108,CHILLOGALLO
130802,MANTA
080653,TONCHIGUE
170177,POMASQUI
120851,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)
130550,FLAVIO ALFARO
170121,LA MAGDALENA
180103,HUACHI CHICO
010114,YANUNCAY
080559,SANTA RITA
070651,BARBONES (SUCRE)
140450,PALORA (METZERA)
120101,CLEMENTE BAQUERIZO
240351,ANCONCITO
120509,VENUS DEL RIO QUEVEDO
090156,POSORJA
240352,JOSE LUIS TAMAYO (MUEY)
080550,SAN LORENZO
170185,YARUQUI
080103,ESMERALDAS
230251,MONTERREY
170132,TURUBAMBA
131751,COJIMIES
080355,SALIMA
900451,EL PIEDRERO
170116,LA ARGELIA
070951,BUENAVISTA
090112,TARQUI
071255,TORATA
131053,GUALE
170118,LA ECUATORIANA
230103,CHIGUILPE
080102,5 DE AGOSTO
110103,SUCRE
170179,PUEMBO
120950,PALENQUE
080451,CUBE
091050,MILAGRO
190250,ZUMBA
050350,EL CORAZON
110201,CARIAMANGA
170130,SAN JUAN
110101,EL SAGRARIO
010106,GIL RAMIREZ DAVALOS
170184,TUMBACO
180855,SAN ANDRES
240102,SANTA ELENA
170160,EL QUINCHE
120750,VENTANAS
020350,SAN JOSE DE CHIMBO
121250,MOCACHE
220150,PUERTO FRANCISCO DE ORELLANA (EL COCA)
220452,PUERTO MURIALDO
220151,DAYUMA
170157,CUMBAYA
170111,GUAMANI
010101,BELLAVISTA
090104,FEBRES CORDERO
170123,MARISCAL SUCRE
900151,LAS GOLONDRINAS
170181,SAN JOSE DE MINAS
090114,XIMENA
120752,ZAPOTAL
170501,SANGOLQUI
060702,LA MATRIZ
110104,VALLE
170353,CUTUGLAHUA
130250,CALCETA
130603,SAN LORENZO DE JIPIJAPA
091250,NARANJITO
121001,SAN JACINTO DE BUENA FE
170156,CONOCOTO
190151,CUMBARATZA
010553,CHICAN (GUILLERMO ORTEGA)
170155,CALDERON (CARAPUNGO)
180154,CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)
010162,RICAURTE
050252,PUCAYACU
020102,GABRIEL IGNACIO VEINTIMILLA
220350,LA JOYA DE LOS SACHAS
050455,LA VICTORIA
170126,QUITUMBE
220159,NUEVO PARAISO (CAB. EN UNION )
